id,name,type,lat,lon
1,Bangalore Blaze Girls High School,school,12.958235,77.517911
2,Post Office,post_office,12.952715,77.513839
3,University Cafeteria,cafe,12.943302,77.505582
4,"S K Hospital, Bengaluru Urban",hospital,12.957572,77.518444
5,Canteen NLSIU,restaurant,12.955298,77.51712
6,Chandana Hospital,hospital,12.957989,77.511439
7,Pizza Hut,restaurant,12.958429,77.519231
8,Union Bank of India,bank,12.955779,77.518277
9,Air Cafe,cafe,12.952924,77.516244
10,"Fortis Hospital, Nagarbhavi",hospital,12.959603,77.511248
11,Sunrise Cafe,cafe,12.952428,77.515372
12,Swamy Hospital,hospital,12.855063,77.664273
13,Axis Bank,atm,12.844354,77.660307
14,GE,office,12.843824,77.66111
15,ICICI Bank,atm,12.843731,77.662301
16,Indian Bank,atm,12.845422,77.663915
17,Ramakrishna Hospital,hospital,12.850065,77.662471
18,ICICI Bank,bank,12.850013,77.662734
19,Flextronics,office,12.840958,77.66365
20,State Bank of India,bank,12.845277,77.664912
21,Pallavi Grand,restaurant,12.848258,77.662532
22,Apollo Clinic,hospital,12.851725,77.668147
23,Cafe Coffee Day,cafe,12.848202,77.662512
24,HDFC Bank,atm,12.844955,77.665653
25,Cafe Coffee Day,cafe,12.84058,77.663786
26,Pizza Hut,restaurant,12.840509,77.663663
27,Canara Bank,bank,12.840307,77.663789
28,Chung Wah,restaurant,12.840138,77.663811
29,Emperor,restaurant,12.840181,77.6638
30,Bank of India,atm,12.840353,77.66377
31,Indian Bank,bank,12.849847,77.66282
32,Infosys Parking Lot,parking,12.848752,77.662169
33,CGI,office,12.841347,77.667015
34,Car Parking,parking,12.841727,77.668032
35,onMobile,office,12.84116,77.665821
36,ICICI Bank,atm,12.845453,77.66259
37,ICICI Bank,atm,12.852382,77.66769
38,East,restaurant,12.850432,77.66014
39,Vandy Restaurant,restaurant,12.844029,77.660865
40,Hyderabadi Spice,restaurant,12.840533,77.663796
41,Loyal World Retail Mart,shop_supermarket,12.889939,77.673377
42,Tessolve,office,12.845528,77.675867
43,New Punjabi Foodcorner,restaurant,12.847595,77.677787
44,Biriyani Paradise,restaurant,12.847884,77.663558
45,Royal South Restaurent Electronic City,restaurant,12.849921,77.664001
46,Suchi Sagar Electronic City,restaurant,12.855845,77.665001
47,Fresh meanu,restaurant,12.85326,77.666131
48,Varvathi Electronic City,restaurant,12.8487,77.68041
49,Soul Indian Speciality Svenska,restaurant,12.840164,77.660633
50,Sky Lounge Bar,restaurant,12.842193,77.664758
51,Hyderabadi Spice Electronic City,restaurant,12.840053,77.664377
52,Pot Biryani Electronic City,restaurant,12.840164,77.660633
53,Seasons Electronic City,restaurant,12.847592,77.671549
54,The Oterra,restaurant,12.850095,77.660279
55,Spring Leaf Health Care Pvt Ltd,hospital,12.852673,77.667646
56,Oxford Hospital,hospital,12.858418,77.665335
57,Springleaf Hospital,hospital,12.853228,77.665351
